text,based_on,applied,received,acknowledgement,second,third,cermony,marriage,residency,stamp,irish_descent,origins
"Application Based On 5+ years of residence (Non-EU) Applied On 28/05/2018 Acknowledgement 29/06/2018 (passport and receipt received) Second Letter June 2019  Approval 19/11/2019 Date of Ceremony 9th December, Expecting to be included in this ceremony.",5+ years of residence (Non-EU),2018-05-28,,2018-06-29,2019-06-01,2019-11-19,,False,True,,False,Non-EU
My wife's application -  Application Based On Marriage to an Irish citizen Applied On 30/05/2018 Application received On 31/05/2018 Acknowledgement 28/06/2018 Second Letter 18/06/2019 Awaiting On Approval - Date of Ceremony -,Marriage to an Irish citizen,2018-05-30,2018-05-31,2018-06-28,2019-06-18,,,True,False,,False,N/A
"Application Based On 5+ yrs residence, non-EU (Stamps 1 and 4) Applied On 30/05/2018 Application received On 02/06/2018 Acknowledgement  15/06/2018 Second Letter 15/06/2018 Awaiting On Approval 25/03/2019 (received my bank draft, GNIB card, photos on 02/04/2019) Date of Ceremony 29/04/2019, 10am (Invitation dated 08 April)","5+ yrs residence, non-EU (Stamps 1 and 4)",2018-05-30,2018-06-02,2018-06-15,2018-06-15,2019-03-25,2019-04-29,False,True,Stamps 1 and 4,False,Non-EU
"Received invite letter to attend Ceremony. Application Based On 5+ yrs residence, non-EU (Stamps 1 and 4) Applied On June 2018 Date of Ceremony 29/04/2019, 10am (Invitation dated 05 April)","5+ yrs residence, non-EU (Stamps 1 and 4)",2018-06-01,,,,,2019-04-29,False,True,Stamps 1 and 4,False,Non-EU
"Application Based On Foreign Birth Registry Applied On June 19, 2018 Application received On August 15, 2018 Acknowledgement  August 15, 2018 Second Letter Pending Awaiting On Approval Date of Ceremony",Foreign Birth Registry,2018-06-19,2018-08-15,2018-08-15,,,,False,False,,True,N/A
Application Based On 5+ years of residence (Non-EU) Applied On 26/06/2018 Application received On 27/06/2018 Acknowledgement & Second stage letter 05/07/2018 Dated 29/06/2018 Awaiting On Approval  Date of Ceremony,5+ years of residence (Non-EU),2018-06-26,2018-06-27,,,,,False,True,,False,Non-EU
Application Based On Naturalisation Applied On 30/06/2018 Application received On 01/07/2018 Acknowledgement 15/07/2018 Second Letter 19/06/2019 Awaiting On Approval - Date of Ceremony -  Looks like they are picking up old applications,Naturalisation,2018-06-30,2018-07-01,2018-07-15,2019-06-19,,,False,False,,False,N/A
Application Sent 30/06/2018 Acknowledgement of Application & returning passport 30/7/2018 Second Stage Letter  awaiting Approval Letter Awaiting  Is it possible to get stage 2 and approval together ?,,2018-06-30,,,,,,False,False,,False,N/A
"Posting for a friend. Don't have exact dates.  Application Based On 20 years British working in Ireland Applied On Jul 2018 Acknowledgement & receipt, passport returned, asking for more proof of residence Jul 2018 Second Letter 19 Jun 2019 Approval letter received 17 Nov 2019 Payment/photos sent to be sent next Monday 25 Nov 2019 Date of Ceremony",20 years British working in Ireland,2018-07-01,2019-11-17,2018-07-01,2019-06-19,2019-11-17,,False,True,,False,UK
Application Based On Spouse (EU Citizen - UK) Applied On Early July 2018 Acknowledgement July 2018 Second Letter Pending Awaiting On Approval Pending Date of Ceremony Pending,Spouse (EU Citizen - UK),2018-07-01,,2018-07-01,,,,True,False,,False,EU
"Application Based On Spouse (EU Citizen - UK), 25yrs resident, 26yrs married. Applied On Early July 2018 Acknowledgement July 2018 Second Letter End June 2019 *updated* Awaiting On Approval Pending Date of Ceremony Pending","Spouse (EU Citizen - UK), 25yrs resident, 26yrs married.",2018-07-01,,2018-07-01,2019-06-01,,,True,True,,False,EU
Application Based On 5+ years residency (stamp 4) Applied On 4/07/2018 Application received On 5/07/2018 Acknowledgement  12/07/2018 (Request for current signature & passport returned) Second Letter Receipt of application. (22/07/2018) Awaiting On Approval Approval received 26/03/2019 (Dated - 25/03/2019) Date of Ceremony Pending.,5+ years residency (stamp 4),2018-07-04,2018-07-05,2018-07-12,,,,False,True,stamp 4,False,N/A
"Application Based On 5+ years residency EU citizen  Applied On 09/07/2018 Application received On 10/07/2018 Acknowledgement and Second Letter 11/07/2018 (Letter, passports and a receipt) Awaiting On Approval Pending Date of Ceremony Pending",5+ years residency EU citizen,2018-07-09,2018-07-10,2018-07-11,2018-07-11,,,False,True,,False,EU
"Application Based On 5+ years residency EU citizen  Applied On 09/07/2018 Application received On 10/07/2018 Acknowledgement and Second Letter 11/07/2018 (Letter, passports and a receipt) Awaiting On Approval letter sent 25/3/2019 got it today 26/3/19      Date of Ceremony they told me 95% 29th April  [/quote]",5+ years residency EU citizen,2018-07-09,2018-07-10,2018-07-11,2018-07-11,,,False,True,,False,EU
"Application Based On 5+ years residency EU citizen Applied On 09/07/2018 Application received On 10/07/2018 Acknowledgement and Second Letter 11/07/2018 (Letter, passports and a receipt) Awaiting On Approval Pending Date of Ceremony 29th April 10.am",5+ years residency EU citizen,2018-07-09,2018-07-10,2018-07-11,2018-07-11,,,False,True,,False,EU
"Application Based On 5-Year Non-EU, Stamp 1 & 4 Applied On 14 July 2018 Application received On 16 July 2018 Acknowledgement & receipt, passport returned, asking for more proof of residence 18 July 2018 More proof of residence sent 24 July 2018 More proof of residence received 25 July 2018 Second Letter  Awaiting On Approval Date of Ceremony","5-Year Non-EU, Stamp 1 & 4",2018-07-14,2018-07-16,2018-07-18,,,,False,True,Stamp 1 & 4,False,Non-EU
Application Based On civil partner of an Irish citizen (3+ years)  Applied On 19/07/2018 Application received On 20/07/2018  Acknowledgement  02/08/2018 (received letter dated 20/07/2018 + passports + letter confirming that my application moved to the second stage) Second Letter Pending Awaiting On Approval Pending Date of Ceremony Pending,civil partner of an Irish citizen (3+ years),2018-07-19,2018-07-20,2018-08-02,,,,True,False,,False,N/A
"Application Based On 5+ years of residency (EU citizen)  Applied On 24th July 2018  Application received On 25th July 2018 - via registered post, signed upon receipt  Acknowledgement and Second Letter received in one letter 20th August 2018 - reference nr, passport, birth cert received with notification of application entering 2nd stage; dated 16th August 2018  Awaiting On Approval Pending  Date of Ceremony Pending",5+ years of residency (EU citizen),2018-07-24,2018-07-25,2018-08-20,2018-08-20,,,False,True,,False,EU
Application Based On 5 year residency Non-EU Applied On 26/07/2018 Acknowledgement letter dated 03/08/2018 Second Stage Letter dated 17/06/2019 Awaiting On Approval - Date of Ceremony -,5 year residency Non-EU,2018-07-26,,,,,,False,True,,False,Non-EU
Application Based On 5 year residency Non-EU Applied On 26/07/2018 Acknowledgement letter dated 03/08/2018 Second Stage Letter dated 17/06/2019 Approval date 18/11/2019 Date of Ceremony -,5 year residency Non-EU,2018-07-26,,,,,,False,True,,False,Non-EU
"Application Based On Marriage to dual Irish / Australian citizen - Australian citizen 3 years residing in Ireland  Applied On 27 July 2018 Application received On 31 July 2018  Acknowledgement  31 July 2018  Second Letter Pending  Awaiting On Approval Pending  Date of Ceremony Pending   I’ve sent several follow up emails to request an update, with the latest response a few weeks ago  “Thank you for your email. As previously advised, your application for naturalisation continues to be processed. If further documentation and/or clarification of any matter related to your application is required from you, we will write to you requesting it. Please note each  application is assessed on an individual basis and the amount of time gathering all the the necessary information varies from application to application.  While it is not possible to give an exact timeframe, this  office will be in touch as soon as a decision has been reached”",Marriage to dual Irish / Australian citizen - Australian citizen 3 years residing in Ireland,2018-07-27,2018-07-31,2018-07-31,,,,True,False,,False,N/A
Application Based On spouse Visa Applied On 29th July 2018 Application received On August 2018 Acknowledgement 5th Jul 18 Second Letter  Awaiting On ApprovalPending Date of Ceremony Pending,spouse Visa,2018-07-29,2018-08-01,,,,,True,False,,False,N/A
Application Based On Non EU 5 years (stamp 1+4) Applied On 30/07/2018 Application received On 31/07/2018 Acknowledgement and Second Letter 02/08/2018 Awaiting On Approval Pending Date of Ceremony Pending,Non EU 5 years (stamp 1+4),2018-07-30,2018-07-31,2018-08-02,2018-08-02,,,False,True,stamp 1+4,False,Non-EU
Application Based On Spouse of Irish ( Non EU )  Applied On 30 July 2018 Acknowledgement  1 August 2018 (passport returned + receipt + application number + request for divorce document of Irish spouse) Additional docs submitted 7 August 2018  Second Letter Pending Awaiting On Approval Pending Date of Ceremony Pending,Spouse of Irish ( Non EU ),2018-07-30,,2018-08-01,,,,True,False,,False,Non-EU
Application Based On5 years non-eu Applied On 31/07/2018 Application received On 02/08/2018 2nd Stage letter- July 2019 Final approval- Request for payment 19th Nov 2019 ceremony Pending,5 years non-eu,2018-07-31,2018-08-02,,,2019-11-19,,False,False,,False,Non-EU
Application based on  5 years residency ( Non EU ) stamp 4 Applied on  31 July 2018  Acknowledgment  03 August 2018  Second letter Pending  A waiting on Approval Pending  Date of ceremony  Pending,5 years residency ( Non EU ) stamp 4,2018-07-31,,,,,,False,True,stamp 4,False,Non-EU
"Got my invitation this morning..... Applied- 01/08/2018 ( Bangladeshi National ) 2nd stage- 03/02/2019 Approval got 19/11/2019 €950 ,IRP,2 pictures send 19/11/2019 straight away same day . Invitation letter got today 25/11/2019 for 9th December dated 21/11/2019 Good luck All the Brother and sisters who waiting for citizenship Appreciate for Everything to Allah Alhamdulillah",,2018-08-01,,,,,,False,False,,False,N/A
"Application Based On 5 years (Non EU, USA Citizen) Stamp 4 Applied On 4  August 2018 Acknowledgement  14 August 2018 (Orig passport returned,  case number assigned from Further Processing Team) Second Letter Pending Awaiting On Approval Pending Date of Ceremony Pending","5 years (Non EU, USA Citizen) Stamp 4",2018-08-04,,2018-08-14,,,,False,True,Stamp 4,False,Non-EU
"Application Based On 21 years resident on stamp 4eu fam and stamp 4, daughter born before 2005, married and separated from Irish spouse Applied On 15 Aug 2018 Application received On 16 Aug 2018 Acknowledgement  22 Aug 2018 ( received 24the Aug 2018) Letter dated 28th Aug requesting Police Clearance from 1978 (birth) to 1999 Second Letter March 13 stating progress to stage 2 after 2 letters asking for copies of stamps (already submitted with application) and explanation of 2-week gap in stamps (letter from Garda Siochana sent with the application stating there was a delay in the processing of residency cards) All submitted again. Awaiting On Approval Date of Ceremony","21 years resident on stamp 4eu fam and stamp 4, daughter born before 2005, married and separated from Irish spouse",2018-08-15,2018-08-16,2018-08-22,,,,True,True,"stamp 4eu fam and stamp 4, daughter born before 2005, married and separated from Irish spouse",False,EU
"Application Based On Irish Associations Applied On 21 Aug 2018 (send by registered mail) Application received On 22 Aug 2018 Acknowledgement  30 Aug 2018 - received a letter dated 24 Aug, asking for additional proofs of residency (I have 3.5 and they asked for 5 years). Will reply to them to ask to waive this condition based on the Section 16. Will see what happens... Second Letter TBC Awaiting On Approval TBC Date of Ceremony TBC",Irish Associations,2018-08-21,2018-08-22,2018-08-30,,,,False,False,,True,N/A
"Application Based On 5 year residency (Non-EU) Applied On August 27, 2018 Application received On August 28, 2018 Acknowledgement  August 29, 2018 Second Letter February 21, 2019 Approval May 28, 2019 Date of Ceremony ?",5 year residency (Non-EU),2018-08-27,2018-08-28,2018-08-29,2019-02-21,2019-05-28,,False,True,,False,Non-EU
"Application Based On 5 years residency (UK citizen married to Irish spouse) Applied On 28/08/2018 Application received On 29/08/2018 Acknowledgement and Second Letter 03/09/2018 (Letter, passports and a receipt) Awaiting On Approval 03/04/19  Fee and Photos sent 04/04/19 Date of Ceremony Pending (hoping for April but feeling that might be a little TOO optimistic)",5 years residency (UK citizen married to Irish spouse),2018-08-28,2018-08-29,2018-09-03,2018-09-03,2019-04-03,,True,True,,False,UK
Application Basis 5 years residency (EU citizen) Applied on 28/08/2018 Application Received 29/08/2018 Acknowledgement 05.09.2018 Second Letter 05.09.2018 (together with acknowledgement) Approval Awaiting,,2018-08-28,2018-08-29,,,,,False,False,,False,N/A
"Application Based On  5 years residency  Applied On 31st August  2018 Application received On 7th September 2018 Acknowledgement  Pending Second Letter Pending Awaiting On Approval Pending Date of Ceremony Pending  Note on the 6th September receipt of payment was returned along with passport and other forms of ID sent. The letter sent back required additional documentation. Additional documentation was sent approx 2-3 weeks later. Contacted office to confirm if everything was received. Reply; ""your application is being processed and documents will be returned in the coming weeks and department will be in touch in due course"".",5 years residency,2018-08-31,2018-09-07,,,,,False,True,,False,N/A
"Application Based On residency Applied On September 2018 Application received On September 2018 Acknowledgement  October 2018 Second Letter November 2018, December 2018, March 2019, April 2019 Awaiting On Approval June 2019 Date of Ceremony March 2, 2020",residency,2018-09-01,2018-09-01,2018-10-01,2018-11-01,2019-06-01,2020-03-02,False,True,,False,N/A
"Application Based On 5+ years of residence (Non-EU) Applied On 03/09/2018 Application received On 04/09/2018 Acknowledgement 05/09/2018 (passport received, receipt and asked for additional docs) Additional documents received 11/09/2018 Second Letter 14/02/2019  Application moved to the Second Stage of Processing and requesting additional doc again Additional documents received 02/03/2019 Awaiting On Approval Pending Date of Ceremony Pending",5+ years of residence (Non-EU),2018-09-03,2018-09-04,2018-09-05,2019-02-14,,,False,True,,False,Non-EU
"Application Based On 7+ years residency, UK citizen Applied On 03/09/2018 Application received On 04/09/2018 Acknowledgement and Second Letter 11/09/2018 (Letter, passports and a receipt) Awaiting On Approval letter sent 01/04/2019 and got it today 03/04/19  Date of Ceremony Pending  Can't believe I received my letter today, I thought that it was cutting it too closely. Now just have to wait to see if I will be part of the April ceremony (will send my cheque on Friday)   BTW for those going to the next ceremony, what sort of time does it state that it starts? (Have to travel down from Galway, so am wondering if I need an overnight stay since it's not that easy to get to for me)","7+ years residency, UK citizen",2018-09-03,2018-09-04,2018-09-11,2018-09-11,,,False,True,,False,UK
Application Based On Non-EU  5+ residence Applied On 03/09/2018 Application received On 05/09/2018 Acknowledgement  dated 06/09/2018 and asked more docs Second Letter  Awaiting On Approval Date of Ceremony,Non-EU  5+ residence,2018-09-03,2018-09-05,,,,,False,True,,False,Non-EU
[quote=yala93 post_id=1681107 time=1536873254 user_id=202594] Application Based On Non-EU  5+ residence Applied On 03/09/2018 Application received On 05/09/2018 Acknowledgement  dated 06/09/2018 and asked more docs Asked more docs again in March 2019 Second Letter 03/06/2019,Non-EU  5+ residence,2018-09-03,2018-09-05,,2019-06-03,,,False,True,,False,Non-EU
Application Based On Non EU ( Stamp 3 & Stamp 4) Applied On 11/09/2018 Application received On 13/09/2018 Acknowledgement  06/09/2018 Second Letter 01/07/2019 Awaiting On Approval 21/11/2019 Date of Ceremony 09/12/2019,Non EU ( Stamp 3 & Stamp 4),2018-09-11,2018-09-13,2018-09-06,2019-07-01,2019-11-21,2019-12-09,False,True,Stamp 3 & Stamp 4,False,Non-EU
Application Based On Civil partnership to Irish citizen Applied On 11 September 2018 Acknowledgement  09 January 2019 Passport returned and asked for additional documents -Copy of partner's Irish passport - Household bills for each year claimed - Bank statements for 3 months of each year claimed - Notice of self assessment by Revenue Sent those documents on January 15th 2019 Received on January 17th 2019 Second Letter Pending Awaiting On Approval Pending Date of Ceremony Pending,Civil partnership to Irish citizen,2018-09-11,2019-01-17,2019-01-09,,,,True,False,,False,N/A
Application Based On Civil partnership to Irish citizen Applied On 11 September 2018 Acknowledgement  09 January 2019 Passport returned and asked for additional documents -Copy of partner's Irish passport - Household bills for each year claimed - Bank statements for 3 months of each year claimed - Notice of self assessment by Revenue Sent those documents on January 15th 2019 Received on January 17th 2019 Second Letter July 17th 2019 Awaiting On Approval Pending Date of Ceremony Pending,Civil partnership to Irish citizen,2018-09-11,2019-01-17,2019-01-09,2019-07-17,,,True,False,,False,N/A
"Application Based On Civil partnership to Irish citizen Applied On 11 September 2018 Acknowledgement  09 January 2019 Passport returned and asked for additional documents -Copy of partner's Irish passport - Household bills for each year claimed - Bank statements for 3 months of each year claimed - Notice of self assessment by Revenue Sent those documents on January 15th 2019 Received on January 17th 2019 Second Letter July 17th 2019 (I changed my address and got a second letter again with the envelope dated July 27th, the letter itself was not dated). Awaiting On Approval Pending Date of Ceremony Pending",Civil partnership to Irish citizen,2018-09-11,2019-01-17,2019-01-09,2019-07-17,,,True,False,,False,N/A
"Application Based On Civil partnership to Irish citizen Applied On September 11th 2018 Acknowledgement  January 9th 2019 Passport returned and asked for additional documents -Copy of partner's Irish passport - Household bills for each year claimed - Bank statements for 3 months of each year claimed - Notice of self assessment by Revenue Sent those documents on January 15th 2019 Received on January 17th 2019 Second Letter July 17th 2019 (I changed my address and got a second letter again with the envelope dated July 27th, the letter itself was not dated). Awaiting On Approval November 19th 2019 Date of Ceremony Pending",Civil partnership to Irish citizen,2018-09-11,2019-01-17,2019-01-09,2019-07-17,2019-11-19,,True,False,,False,N/A
"Application Based On Civil partnership to Irish citizen Applied On 11 September 2018 Acknowledgement  09 January 2019 Passport returned and asked for additional documents -Copy of partner's Irish passport - Household bills for each year claimed - Bank statements for 3 months of each year claimed - Notice of self assessment by Revenue Sent those documents on January 15th 2019 Received on January 17th 2019 Second Letter July 17th 2019 (I changed my address and got a second letter again with the envelope dated July 27th, the letter itself was not dated). Awaiting On Approval Invitation received on November 26th. Letter dated November 24th. Date of Ceremony December 9th 2019 at 1020 am",Civil partnership to Irish citizen,2018-09-11,2019-01-17,2019-01-09,2019-07-17,,2019-12-09,True,False,,False,N/A
Application Based On Civil partnership to Irish citizen Applied On 11 September 2018 Acknowledgement  09 January 2019 Second Letter Pending Awaiting On Approval Pending Date of Ceremony Pending,Civil partnership to Irish citizen,2018-09-11,,2019-01-09,,,,True,False,,False,N/A
Application Based On Civil partnership to Irish citizen Applied On 11 September 2018 Acknowledgement  Pending Second Letter Pending Awaiting On Approval Pending Date of Ceremony Pending,Civil partnership to Irish citizen,2018-09-11,,,,,,True,False,,False,N/A
Application Based On Civil partnership with Irish Citizen living in Northern Ireland. Non-EU with UK settlement. Applied On 17/09/2018. Application received On 18/09/2018 (Royal Mail Tracking). Acknowledgement 27/10/2018 (after a phone call as passport needed) with passport and birth certificate. Second Letter Pending Awaiting On Approval Pending Date of Ceremony Pending Application,Civil partnership with Irish Citizen living in Northern Ireland. Non-EU with UK settlement.,2018-09-17,2018-09-18,2018-10-27,,,,True,True,,False,Non-EU
"Application Based On Foreign Birth by decent, Grandfather on Maternal side. Applied On 18 Sept, 2018 Application received On 27 Sept, 2018 (Tracked via EMS) Acknowledgement  27th Sept, 2018 (Email from DFA) Second Letter - Awaiting On Approval - Date of Ceremony -","Foreign Birth by decent, Grandfather on Maternal side.",2018-09-18,2018-09-27,2018-09-27,,,,False,False,,True,N/A
Application sent 21/9/2018  Application received 24/9/2018 Acknowledgement Awaiting Second Letter Awaiting Approval Awaiting Date of Ceremony N/A,,2018-09-21,2018-09-24,,,,,False,False,,False,N/A
"Application Based On  Irish Associations Applied On  21 September 2018 Application received On  25 September 2018 Acknowledgement  issued on 25 September 2018 with return of passport and request for police clearance letters. (Acknowledgement and request for police certs was delayed in the  mail and not received until Oct 1. Police letters sent 18 October, received in Tipperary 23 October 2018) Second Letter   ---- Awaiting On Approval  ---- Date of Ceremony ----",Irish Associations,2018-09-21,2018-09-25,2018-09-25,,,,False,False,,True,N/A
"Re 2018 Citizenship Application TIMELINES ONLY Post by MomG12 » Sat Jun 15, 2019 437 pm  Application Based On Irish Associations Applied On 21 September 2018 Application received On 25 September 2018 Acknowledgement  issued on 25 September 2018 with return of passport and request for police clearance letters. (Acknowledgement and request for police certs was delayed in the mail and not received until Oct 1. Police letters sent 18 October, received in Tipperary 23 October 2018) Second Letter 19 September 2019 = proceeding to second stage Awaiting On Approval ---- Date of Ceremony ----",Irish Associations,2018-09-21,2018-09-25,2018-09-25,2019-09-19,,,False,False,,True,N/A
"Application Based On 5 years residency ( Non EU ) stamp 4 Applied On 23 September 2018 Acknowledgement  17 December 2018 (passport returned + requesting 6 months bank statement and utility bills for each of the 5 years, GP letter, letter from employer) Additional docs received  10 January 2019 Second Letter Pending Awaiting On Approval Pending Date of Ceremony Pending",5 years residency ( Non EU ) stamp 4,2018-09-23,2019-01-10,2018-12-17,,,,False,True,stamp 4,False,Non-EU
"Application Based On Non-EU (Stamp 1 + Stamp 4) Applied On 01/10/2018 Application received On 02/10/2018 Acknowledgement Letter 12/10/2018 (Received passports back, payment receipt and application No) Second Letter 10/06/2019 (Requested GNIB, Bank Draft, Passport Photos) Awaiting On Approval 10/06/2019 - Approved on ""Second Letter"" Date of Ceremony Pending",Non-EU (Stamp 1 + Stamp 4),2018-10-01,2018-10-02,2018-10-12,2019-06-10,2019-06-10,,False,True,Stamp 1 + Stamp 4,False,Non-EU
"Application Based On 5 years residence, EU national Applied On 1st October 2018 Acknowledgement 5th October 2018 (proceeded to second stage) Awaiting On Approval 8th January 2020 (Minister proposes to grant application) Ceremony invitation10th February 2020 Date of Ceremony 2nd March 2020","5 years residence, EU national",2018-10-01,,2018-10-05,,2020-01-08,2020-02-01,False,True,,False,EU
Application based on marriage to my Irish spouse in NI Applied October 2018 Second stage letter November 2018 Approval and payment request Jan 2020 Ceremony invitation Pending,marriage to my Irish spouse in NI,2018-10-01,,,,2020-01-01,,True,False,,False,N/A
Application Based On Non Eu 20+ years  stamp 4 Applied On Oct 2018 Second Letter June 2019 Awaiting On Approval 22 Jan 2020 approval letter received letter day 21 Jan Date of Ceremony Pending,Non Eu 20+ years  stamp 4,2018-10-01,,,2019-06-01,2020-01-22,,False,True,stamp 4,False,Non-EU
"Application based on Married to Irish citizen (EU citizen) Applied on 02 Oct 2018 Application received 03 Oct 2018 Acknowledgement 08 Oct 2018 passports returned with letter requesting P60s from 2015, 2016 along with work letters for the same. Reply and docs posted 18 Oct 2018 Second Letter issued 05 June 2019 received 07 Jun 2018 in response to query email sent 27 May 2019 regarding the status of the application. Letter mentioned they are checking my good character and not to contact again, also that application has moved to the 2nd stage. Awaiting on approval 09 Jan 2020 Date of Ceremony Pending",Married to Irish citizen (EU citizen),2018-10-02,2018-10-03,2018-10-08,2019-06-05,2020-01-09,,True,False,,False,EU
Application Based On NonEU 5 years Applied On 05/10/2018 Application received On 06/10/2018 Additional Documents requested 20/11/2018 Additional Proof of address and bank statement from 2015 Acknowledgement and Second Letter None Awaiting On Approval None Date of Ceremony None,NonEU 5 years,2018-10-05,2018-10-06,,,,,False,False,,False,Non-EU
"Application Based On 5+ years residency Non EU Applied On 14/10/2018 Application received On 17/10/2018 Acknowledgement 12/11/2018 (fee receipt, reference number, passport returned) Asked explanation, for mis-match of signature in passport to application form, sent explanation on 20/11/2018 Second stage Pending",5+ years residency Non EU,2018-10-14,2018-10-17,2018-11-12,,,,False,True,,False,Non-EU
"Application Based On 5+ years residency (myself and my wife) Applied On 25/10/18 Application received On 26/10/18 Acknowledgement  28/10/18 (more documents (RTB letters, letter from doctor) requested) Documents were sent on 13/11/18 and received on 14/11/18. Second Letter Pending Awaiting On Approval Pending Date of Ceremony Pending",5+ years residency (myself and my wife),2018-10-25,2018-10-26,2018-10-28,,,,False,True,,False,N/A
"Application Based On 5+ years residency (myself and my wife) Applied On 25/10/18 Application received On 26/10/18 Acknowledgement  28/10/18 (more documents (RTB letters, letter from doctor) requested) Documents were sent on 13/11/18 and received on 14/11/18. Second Letter 25/06/19 & 10/09/19 Approval Stamp 3 approval Pending & Stamp 1 approval 07/01/20 (Payment etc requested)   Date of Ceremony Pending",5+ years residency (myself and my wife),2018-10-25,2018-10-26,2018-10-28,2019-06-25,,,False,True,,False,N/A
Application Based On 18 years residency (EU Citizen) Applied On 31 Oct 2018 Application received On 1 Nov 2018 Acknowledgement 11 January 2019 - Passport returned and advised that the application has moved to the next stage. Second Letter Pending Awaiting On Approval Pending Date of Ceremony Pending,18 years residency (EU Citizen),2018-10-31,2018-11-01,2019-01-11,,,,False,True,,False,EU
Application Based On 5 year residency Non-EU Applied On 31 October 2018 Application received On 1 November 2018 Acknowledgement 4 February 2019 received a letter confirming application had moved to the next stage Second Letter 10 April 2019 received a letter proposing to approve application Pending payment of €950 and passport photos Awaiting On Approval  19 April received invitation to attend 1510 ceremony Date of Ceremony 29 April 2019,5 year residency Non-EU,2018-10-31,2018-11-01,2019-02-04,2019-04-10,,,False,True,,False,Non-EU
Applied on 15th of November 2018{non eu spouse of a Irish citizen been in the country since 2015}  Passport and original docs returned on 7th of Feb 2019 with a receipt of application fees Have been asked to submit police clearance report from all previous countries lived.  Bank statement (3month) from  2015/16/17&18. Utility bill for 2015/16/17/18.,,2018-11-01,,,,,,False,False,,False,N/A
"Application Based On Non-EU, 5+ years residence (stamp 4) Applied early November 2018 Second Stage Letter late May 2019 Approval early January 2020 Date of Ceremony Pending","Non-EU, 5+ years residence (stamp 4)",2018-11-01,,,,2020-01-01,,False,True,stamp 4,False,Non-EU
Applied Nov 2018  Spouse of Irish citizen  Received a letter asking for GNIB & 950 to be included on the next ceromony on the 7th of Jan 2020  Ceromony date-waiting,,2018-11-01,,,,,,False,False,,False,N/A
"Application based on non-EU married to Irish citizen Applied November 2018 Aknowledgement, passport and gnib returned/second-stage letter February 2019 Approval letter November 2019 Ceremony invitation February 2020 Ceremony March 2020.",non-EU married to Irish citizen,2018-11-01,,,,2019-11-01,2020-02-01,True,False,,False,Non-EU
Application Based On 5 years residency EU Fam Applied On 02/11/18 Application received On 03/11/18 Acknowledgement  03/02/19 Original passport returned with receipt €175.00 and asked to submit more documents Second Letter 10/02/19 Awaiting On ApprovalPending Date of CeremonyPending,5 years residency EU Fam,2018-11-02,2018-11-03,2019-02-03,2019-02-10,,,False,True,,False,EU
"Application Based On 5+ years residence in Republic of Ireland - British Citizen Applied On 5 November 2018 Application received On 6 November 2018 Acknowledgement  19 November 2018 - passport returned, receipt of €175 and confirmation through to second stage processing Second Letter TBC Awaiting On Approval TBC Date of Ceremony TBC",5+ years residence in Republic of Ireland - British Citizen,2018-11-05,2018-11-06,2018-11-19,,,,False,True,,False,UK
"Application Based On  marriage or civil partnership to an Irish citizen Applied On 05/11/2018 Application received On 08/11/18 Passport returned 3rd week in Nov  email sent sent on 13th March asking to see if any udpates available received on 25/3  Dear Justin Fiddy  Your  application  continues  to  be processed. While it is not possible to give an exact timeframe, this office will be in touch as soon as a decision has been reached.  Regards  Citizenship Helpdesk Team 3",marriage or civil partnership to an Irish citizen,2018-11-05,2018-11-08,,,,,True,False,,False,N/A
[quote=irishsaint post_id=1767578 time=1555004903 user_id=214306] Application Based On  marriage or civil partnership to an Irish citizen Applied On 05/11/2018 Application received On 08/11/18 Passport returned 3rd week in Nov  2nd Stage letter received 14/5,marriage or civil partnership to an Irish citizen,2018-11-05,2018-11-08,,,,,True,False,,False,N/A
Application Based On marriage or civil partnership to an Irish citizen Applied On 05/11/2018 Application received On 08/11/18 Passport returned 3rd week in Nov 2nd Stage June  Request for payment 19th Nov 2019,marriage or civil partnership to an Irish citizen,2018-11-05,2018-11-08,,,,,True,False,,False,N/A
"I appreciate you're volunteers and limited in number, but you seem to have the resource to always quickly delete any posts which don't comply with other thread rules, including my one, three posts back.  Sorry for using non-diplomatic language above, but it seems absolutely crazy that this thread consists of pages full of posts essentially saying ""applied 5/11/18, everything else Pending"" whereas when someone points out that this isn't helpful, their post gets deleted without comment or explanation.",,2018-11-05,,,,,,False,False,,False,N/A
Application Based On 5 years Stamp4EUFAM Applied On 12/11/2018 Application received On 13/11/2018 Acknowledgement  09/12/2018 (dated 05/12/2018) passaport returned  Second Letter  15/01/2019 (dated 09/01/2019) receipt of bank draft. Awaiting On Approval n/a Date of Ceremony n/a,5 years Stamp4EUFAM,2018-11-12,2018-11-13,2018-12-09,2019-01-15,,,False,True,Stamp4EUFAM,False,EU
Application Based On 3 years refugee based Applied On 16 Nov 2018 Application received On 18 Nov 18 Acknowledgement  Passport returned asking further proofs of residence in state Provided in February  Second Letter received March confirmation of recieved documents  Awaiting On Approval ? Date of Ceremony ?,3 years refugee based,2018-11-16,,,,,,False,False,,False,N/A
